trade_id,stock_code,stock_name,buy_price,entry_reason,condition_name,entry_min,profit_rate,exit_reason,exit_category,hold_hours,buy_time_str,entry_date,choch_grade,exit_type,time_bucket,is_win,is_alpha,regime,regime_score,regime_reasons,regime_cutoff,kospi_last,kosdaq_last,v132_blocked,v132_reason,v14_blocked,v14_reason,v14_size,pnl,adj_pnl
121,009420,한올바이오파마,45750.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,657,-0.66,"🚨 Early Failure Cut (4.1분, -0.66%)",EXPERIMENT_EXIT,0.06909182972222222,2025-11-28 10:57,2025-11-28,LEGACY_VWAP,EF,10:30~12:00,False,False,NEUTRAL,0,KOSPI_above_EMA20|KOSPI_slope_up|KOSDAQ_below_EMA20|KOSDAQ_slope_down,2025-11-27,2025-11-27,2025-11-27,False,,False,,0.7,-0.66,-0.46199999999999997
123,476060,온코닉테라퓨틱스,20750.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,755,1.45,ATR 트레일링 스탑 (+1.45%),ALPHA_EXIT,0.5541006661111111,2025-11-28 12:35,2025-11-28,LEGACY_VWAP,ALPHA,12:00~13:30,True,True,NEUTRAL,0,KOSPI_above_EMA20|KOSPI_slope_up|KOSDAQ_below_EMA20|KOSDAQ_slope_down,2025-11-27,2025-11-27,2025-11-27,False,,False,,0.7,1.45,1.015
124,448900,한국피아이엠,54600.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,755,1.28,ATR 트레일링 스탑 (+1.28%),ALPHA_EXIT,0.6547315852777778,2025-11-28 12:35,2025-11-28,LEGACY_VWAP,ALPHA,12:00~13:30,True,True,NEUTRAL,0,KOSPI_above_EMA20|KOSPI_slope_up|KOSDAQ_below_EMA20|KOSDAQ_slope_down,2025-11-27,2025-11-27,2025-11-27,False,,False,,0.7,1.28,0.8959999999999999
125,009420,한올바이오파마,46100.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,756,1.52,ATR 트레일링 스탑 (+1.52%),ALPHA_EXIT,0.9067961425,2025-11-28 12:36,2025-11-28,LEGACY_VWAP,ALPHA,12:00~13:30,True,True,NEUTRAL,0,KOSPI_above_EMA20|KOSPI_slope_up|KOSDAQ_below_EMA20|KOSDAQ_slope_down,2025-11-27,2025-11-27,2025-11-27,False,,False,,0.7,1.52,1.0639999999999998
126,318060,그래피,20050.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,756,-0.75,"🚨 Early Failure Cut (3.0분, -0.75%)",EXPERIMENT_EXIT,0.049728173333333334,2025-11-28 12:36,2025-11-28,LEGACY_VWAP,EF,12:00~13:30,False,False,NEUTRAL,0,KOSPI_above_EMA20|KOSPI_slope_up|KOSDAQ_below_EMA20|KOSDAQ_slope_down,2025-11-27,2025-11-27,2025-11-27,False,,False,,0.7,-0.75,-0.5249999999999999
128,950160,코오롱티슈진,85900.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,760,0.93,ATR 트레일링 스탑 (+0.93%),ALPHA_EXIT,0.6892736913888889,2025-11-28 12:40,2025-11-28,LEGACY_VWAP,ALPHA,12:00~13:30,True,True,NEUTRAL,0,KOSPI_above_EMA20|KOSPI_slope_up|KOSDAQ_below_EMA20|KOSDAQ_slope_down,2025-11-27,2025-11-27,2025-11-27,False,,False,,0.7,0.93,0.651
133,448900,한국피아이엠,60600.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,571,-0.83,"🚨 Early Failure Cut (2.0분, -0.83%)",EXPERIMENT_EXIT,0.03394090444444445,2025-12-01 09:31,2025-12-01,LEGACY_VWAP,EF,09:30~10:30,False,False,NEUTRAL,-1,KOSPI_below_EMA20|KOSPI_slope_down|KOSPI_drop_-1.5pct|KOSDAQ_above_EMA20|KOSDAQ_slope_up,2025-11-30,2025-11-28,2025-11-28,False,,False,,0.7,-0.83,-0.581
136,318060,그래피,20100.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,583,-0.60,"🚨 Early Failure Cut (2.0분, -0.60%)",EXPERIMENT_EXIT,0.03355353472222222,2025-12-01 09:43,2025-12-01,LEGACY_VWAP,EF,09:30~10:30,False,False,NEUTRAL,-1,KOSPI_below_EMA20|KOSPI_slope_down|KOSPI_drop_-1.5pct|KOSDAQ_above_EMA20|KOSDAQ_slope_up,2025-11-30,2025-11-28,2025-11-28,False,,False,,0.7,-0.6,-0.42
137,058610,에스피지,63300.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,585,-0.63,"🚨 Early Failure Cut (6.0분, -0.63%)",EXPERIMENT_EXIT,0.10025880277777778,2025-12-01 09:45,2025-12-01,LEGACY_VWAP,EF,09:30~10:30,False,False,NEUTRAL,-1,KOSPI_below_EMA20|KOSPI_slope_down|KOSPI_drop_-1.5pct|KOSDAQ_above_EMA20|KOSDAQ_slope_up,2025-11-30,2025-11-28,2025-11-28,False,,False,,0.7,-0.63,-0.44099999999999995
139,092200,디아이씨,9540.00,VWAP 상향 돌파 (종합점수: 0.0),VWAP+AI,587,-0.52,"🚨 Early Failure Cut (1.0분, -0.52%)",EXPERIMENT_EXIT,0.016666214166666665,2025-12-01 09:47,2025-12-01,LEGACY_VWAP,EF,09:30~10:30,False,False,NEUTRAL,-1,KOSPI_below_EMA20|KOSPI_slope_down|KOSPI_drop_-1.5pct|KOSDAQ_above_EMA20|KOSDAQ_slope_up,2025-11-30,2025-11-28,2025-11-28,False,,False,,0.7,-0.52,-0.364
