Datetime,open,high,low,close,volume
2025-12-05 00:00:00+00:00,18015.0,18030.0,17930.0,17980.0,0
2025-12-05 00:05:00+00:00,17980.0,18020.0,17890.0,18020.0,72113
2025-12-05 00:10:00+00:00,18035.0,18035.0,17950.0,17995.0,78804
2025-12-05 00:15:00+00:00,17990.0,17990.0,17900.0,17925.0,79875
2025-12-05 00:20:00+00:00,17920.0,17935.0,17880.0,17885.0,67650
2025-12-05 00:25:00+00:00,17890.0,17965.0,17880.0,17940.0,55949
2025-12-05 00:30:00+00:00,17955.0,18005.0,17940.0,17990.0,79150
2025-12-05 00:35:00+00:00,17990.0,18030.0,17980.0,18010.0,64854
2025-12-05 00:40:00+00:00,18010.0,18030.0,17965.0,18020.0,50670
2025-12-05 00:45:00+00:00,18025.0,18030.0,17980.0,17990.0,35205
2025-12-05 00:50:00+00:00,17985.0,18015.0,17962.0,18000.0,41580
2025-12-05 00:55:00+00:00,18005.0,18070.0,17990.0,18010.0,45758
2025-12-05 01:00:00+00:00,18025.0,18095.0,18010.0,18095.0,43749
2025-12-05 01:05:00+00:00,18095.0,18160.0,18085.0,18140.0,73071
2025-12-05 01:10:00+00:00,18140.0,18230.0,18140.0,18230.0,53633
2025-12-05 01:15:00+00:00,18235.0,18245.0,18150.0,18160.0,59926
2025-12-05 01:20:00+00:00,18160.0,18195.0,18145.0,18150.0,43726
2025-12-05 01:25:00+00:00,18160.0,18200.0,18150.0,18180.0,43482
2025-12-05 01:30:00+00:00,18185.0,18220.0,18150.0,18150.0,67673
2025-12-05 01:35:00+00:00,18155.0,18190.0,18155.0,18175.0,44961
2025-12-05 01:40:00+00:00,18180.0,18190.0,18155.0,18155.0,17860
2025-12-05 01:45:00+00:00,18155.0,18165.0,18130.0,18145.0,34356
2025-12-05 01:50:00+00:00,18140.0,18145.0,18090.0,18110.0,38412
2025-12-05 01:55:00+00:00,18110.0,18110.0,18065.0,18110.0,35384
2025-12-05 02:00:00+00:00,18110.0,18130.0,18100.0,18110.0,13630
2025-12-05 02:05:00+00:00,18110.0,18115.0,18080.0,18095.0,38204
2025-12-05 02:10:00+00:00,18095.0,18105.0,18065.0,18105.0,22510
2025-12-05 02:15:00+00:00,18110.0,18130.0,18095.0,18115.0,20346
2025-12-05 02:20:00+00:00,18115.0,18125.0,18095.0,18105.0,13710
2025-12-05 02:25:00+00:00,18115.0,18150.0,18110.0,18135.0,15984
2025-12-05 02:30:00+00:00,18135.0,18140.0,18120.0,18135.0,21371
2025-12-05 02:35:00+00:00,18130.0,18150.0,18130.0,18140.0,23957
2025-12-05 02:40:00+00:00,18140.0,18145.0,18125.0,18135.0,9995
2025-12-05 02:45:00+00:00,18135.0,18140.0,18110.0,18130.0,8530
2025-12-05 02:50:00+00:00,18130.0,18200.0,18130.0,18170.0,41513
2025-12-05 02:55:00+00:00,18175.0,18195.0,18170.0,18190.0,12898
2025-12-05 03:00:00+00:00,18195.0,18195.0,18165.0,18165.0,17805
2025-12-05 03:05:00+00:00,18170.0,18175.0,18140.0,18150.0,9008
2025-12-05 03:10:00+00:00,18160.0,18160.0,18130.0,18145.0,12497
2025-12-05 03:15:00+00:00,18145.0,18165.0,18140.0,18160.0,11931
2025-12-05 03:20:00+00:00,18160.0,18180.0,18150.0,18170.0,17015
