kind,path,size_kb,rows,symbols,freq,is_ohlcv,error
csv,phase1/universe/universe_backtest.csv,0.7,4,,,False,
csv,phase1/paper_choch/paper_summary.csv,29.8,483,,,False,
csv,phase1/paper_choch/paper_diff.csv,0.1,0,,,False,
csv,phase1/paper_choch/paper_funnel.csv,60.7,2415,,,False,
csv,phase1/paper_choch/paper_signal_log.csv,13.0,117,,,False,
pkl,logs/accept_index_cache.pkl,967.7,,,,False,
pkl,logs/yf_5m_cache/452160.KS_2026-01-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/053700.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/361390.KS_2026-02-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/223250.KS_2025-12-19.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/232680.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/451760.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/005930.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/318060.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/200470.KS_2025-12-03.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/437730.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/130660.KS_2026-02-25.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/047040.KS_2026-02-05.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/124500.KS_2026-01-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2025-12-30.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/009420.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/080220.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/452160.KS_2026-02-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/294630.KS_2026-04-16.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/003160.KS_2026-01-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-14.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/095610.KS_2026-02-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/056080.KS_2026-02-06.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/101170.KS_2025-12-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/318060.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/189300.KS_2026-02-10.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/073490.KS_2026-03-26.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-07.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/460940.KS_2025-12-03.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/053700.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/232680.KS_2026-01-21.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/211270.KS_2026-02-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/060280.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/190510.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/070300.KS_2026-04-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/240810.KS_2026-01-29.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/007810.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/013360.KS_2025-12-05.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/476060.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/058610.KS_2025-12-01.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/295310.KS_2025-12-18.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/217330.KS_2025-12-16.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/007810.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/059120.KS_2026-01-26.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/053700.KS_2025-12-30.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/396470.KS_2026-06-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/448900.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/389030.KS_2025-12-11.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/105840.KS_2025-12-05.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/023810.KS_2026-01-14.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/049630.KS_2025-12-26.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/160980.KS_2026-04-14.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/396470.KS_2026-04-14.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/437730.KS_2026-01-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/035420.KS_2026-06-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/006400.KS_2026-05-12.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/023810.KS_2026-01-12.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/030530.KS_2025-12-11.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/078600.KS_2026-04-06.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/419080.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/368770.KS_2026-01-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/039440.KS_2026-02-10.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/452160.KS_2026-01-20.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/318060.KS_2025-12-03.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/281740.KS_2026-02-10.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/232680.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/417840.KS_2026-02-19.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/448900.KS_2025-12-01.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/474650.KS_2026-02-19.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/189300.KS_2026-01-23.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/056080.KS_2026-01-16.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/124500.KS_2025-12-23.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/368770.KS_2026-01-07.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/389500.KS_2026-01-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/005930.KS_2026-07-01.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/092200.KS_2025-12-01.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/019180.KS_2026-01-14.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/059270.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/023810.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/396470.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/474650.KS_2025-12-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/005930.KS_2026-06-23.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/101330.KS_2026-02-05.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/189300.KS_2026-01-27.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/458870.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/039860.KS_2025-12-16.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/298830.KS_2026-01-21.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-06.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/080220.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/200710.KS_2026-01-30.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/950160.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/396470.KS_2026-01-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/396470.KS_2026-01-07.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/250060.KS_2025-12-30.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/232680.KS_2026-01-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/105840.KS_2025-12-11.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/452160.KS_2026-01-06.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/318060.KS_2025-12-01.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/218410.KS_2026-03-26.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/274090.KS_2026-01-30.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/037030.KS_2026-04-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/452160.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/082920.KS_2026-04-14.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/302430.KS_2025-12-10.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/365590.KS_2026-02-10.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/004310.KS_2026-01-16.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/232680.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/458650.KS_2026-05-11.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/318060.KS_2026-01-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/082920.KS_2026-01-14.pkl,0.3,0,,,False,
pkl,logs/yf_cache/452160.KS_2026-01-08.pkl,3.2,41,,,False,
pkl,logs/yf_cache/053700.KS_2026-01-09.pkl,3.3,42,,,False,
pkl,logs/yf_cache/361390.KS_2026-02-02.pkl,3.2,40,,,False,
pkl,logs/yf_cache/223250.KS_2025-12-19.pkl,3.4,45,,,False,
pkl,logs/yf_cache/232680.KS_2026-01-09.pkl,3.3,42,,,False,
pkl,logs/yf_cache/451760.KS_2026-01-22.pkl,3.2,41,,,False,
pkl,logs/yf_cache/005930.KS_2026-01-22.pkl,3.2,41,,,False,
pkl,logs/yf_cache/318060.KS_2026-01-02.pkl,1.2,0,,,False,
pkl,logs/yf_cache/200470.KS_2025-12-03.pkl,3.1,39,,,False,
pkl,logs/yf_cache/437730.KS_2026-01-15.pkl,3.2,41,,,False,
pkl,logs/yf_cache/130660.KS_2026-02-25.pkl,3.1,38,,,False,
pkl,logs/yf_cache/047040.KS_2026-02-05.pkl,3.2,41,,,False,
pkl,logs/yf_cache/124500.KS_2026-01-13.pkl,3.2,40,,,False,
pkl,logs/yf_cache/489500.KS_2025-12-30.pkl,1.2,0,,,False,
pkl,logs/yf_cache/009420.KS_2025-11-28.pkl,3.2,40,,,False,
pkl,logs/yf_cache/080220.KS_2026-01-09.pkl,3.3,42,,,False,
pkl,logs/yf_cache/452160.KS_2026-02-13.pkl,3.3,42,,,False,
pkl,logs/yf_cache/294630.KS_2026-04-16.pkl,3.2,40,,,False,
pkl,logs/yf_cache/003160.KS_2026-01-08.pkl,3.2,41,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-14.pkl,1.2,0,,,False,
pkl,logs/yf_cache/095610.KS_2026-02-09.pkl,3.2,40,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-02.pkl,1.2,0,,,False,
pkl,logs/yf_cache/056080.KS_2026-02-06.pkl,3.3,42,,,False,
pkl,logs/yf_cache/101170.KS_2025-12-08.pkl,3.3,42,,,False,
pkl,logs/yf_cache/318060.KS_2025-11-28.pkl,1.2,0,,,False,
pkl,logs/yf_cache/189300.KS_2026-02-10.pkl,3.2,40,,,False,
pkl,logs/yf_cache/073490.KS_2026-03-26.pkl,3.2,40,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-07.pkl,1.2,0,,,False,
pkl,logs/yf_cache/460940.KS_2025-12-03.pkl,1.2,0,,,False,
pkl,logs/yf_cache/053700.KS_2026-01-02.pkl,3.3,42,,,False,
pkl,logs/yf_cache/232680.KS_2026-01-21.pkl,3.2,40,,,False,
pkl,logs/yf_cache/211270.KS_2026-02-09.pkl,3.2,40,,,False,
pkl,logs/yf_cache/060280.KS_2026-01-22.pkl,3.2,41,,,False,
pkl,logs/yf_cache/190510.KS_2026-01-15.pkl,3.2,41,,,False,
pkl,logs/yf_cache/070300.KS_2026-04-15.pkl,3.1,39,,,False,
pkl,logs/yf_cache/240810.KS_2026-01-29.pkl,3.2,41,,,False,
pkl,logs/yf_cache/007810.KS_2026-01-22.pkl,3.2,41,,,False,
pkl,logs/yf_cache/013360.KS_2025-12-05.pkl,3.2,41,,,False,
pkl,logs/yf_cache/476060.KS_2025-11-28.pkl,1.2,0,,,False,
pkl,logs/yf_cache/058610.KS_2025-12-01.pkl,3.1,38,,,False,
pkl,logs/yf_cache/295310.KS_2025-12-18.pkl,3.4,44,,,False,
pkl,logs/yf_cache/217330.KS_2025-12-16.pkl,3.3,43,,,False,
pkl,logs/yf_cache/007810.KS_2026-01-15.pkl,3.2,41,,,False,
pkl,logs/yf_cache/059120.KS_2026-01-26.pkl,3.2,40,,,False,
pkl,logs/yf_cache/053700.KS_2025-12-30.pkl,3.3,42,,,False,
pkl,logs/yf_cache/396470.KS_2026-06-09.pkl,3.1,39,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-15.pkl,1.2,0,,,False,
pkl,logs/yf_cache/448900.KS_2025-11-28.pkl,3.2,40,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-08.pkl,1.2,0,,,False,
pkl,logs/yf_cache/389030.KS_2025-12-11.pkl,3.4,44,,,False,
pkl,logs/yf_cache/105840.KS_2025-12-05.pkl,3.2,41,,,False,
pkl,logs/yf_cache/023810.KS_2026-01-14.pkl,3.2,40,,,False,
pkl,logs/yf_cache/049630.KS_2025-12-26.pkl,3.4,44,,,False,
pkl,logs/yf_cache/160980.KS_2026-04-14.pkl,3.1,39,,,False,
pkl,logs/yf_cache/396470.KS_2026-04-14.pkl,3.1,39,,,False,
pkl,logs/yf_cache/437730.KS_2026-01-13.pkl,3.2,40,,,False,
pkl,logs/yf_cache/035420.KS_2026-06-15.pkl,3.1,39,,,False,
pkl,logs/yf_cache/006400.KS_2026-05-12.pkl,3.2,41,,,False,
pkl,logs/yf_cache/023810.KS_2026-01-12.pkl,3.2,40,,,False,
pkl,logs/yf_cache/030530.KS_2025-12-11.pkl,3.4,44,,,False,
pkl,logs/yf_cache/078600.KS_2026-04-06.pkl,3.1,39,,,False,
pkl,logs/yf_cache/419080.KS_2026-01-15.pkl,3.2,41,,,False,
pkl,logs/yf_cache/368770.KS_2026-01-08.pkl,3.2,41,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-22.pkl,1.2,0,,,False,
pkl,logs/yf_cache/039440.KS_2026-02-10.pkl,3.2,40,,,False,
pkl,logs/yf_cache/452160.KS_2026-01-20.pkl,3.2,40,,,False,
pkl,logs/yf_cache/318060.KS_2025-12-03.pkl,1.2,0,,,False,
pkl,logs/yf_cache/281740.KS_2026-02-10.pkl,3.2,40,,,False,
pkl,logs/yf_cache/232680.KS_2026-01-02.pkl,3.3,42,,,False,
pkl,logs/yf_cache/417840.KS_2026-02-19.pkl,3.1,38,,,False,
pkl,logs/yf_cache/448900.KS_2025-12-01.pkl,3.1,38,,,False,
pkl,logs/yf_cache/474650.KS_2026-02-19.pkl,1.2,0,,,False,
pkl,logs/yf_cache/189300.KS_2026-01-23.pkl,3.3,42,,,False,
pkl,logs/yf_cache/056080.KS_2026-01-16.pkl,3.3,42,,,False,
pkl,logs/yf_cache/124500.KS_2025-12-23.pkl,3.3,43,,,False,
pkl,logs/yf_cache/368770.KS_2026-01-07.pkl,3.2,40,,,False,
pkl,logs/yf_cache/389500.KS_2026-01-13.pkl,3.2,40,,,False,
pkl,logs/yf_cache/005930.KS_2026-07-01.pkl,3.2,40,,,False,
pkl,logs/yf_cache/092200.KS_2025-12-01.pkl,3.1,38,,,False,
pkl,logs/yf_cache/019180.KS_2026-01-14.pkl,3.2,40,,,False,
pkl,logs/yf_cache/059270.KS_2026-01-22.pkl,3.2,41,,,False,
pkl,logs/yf_cache/023810.KS_2026-01-15.pkl,3.2,41,,,False,
pkl,logs/yf_cache/396470.KS_2026-01-09.pkl,3.3,42,,,False,
pkl,logs/yf_cache/474650.KS_2025-12-08.pkl,1.2,0,,,False,
pkl,logs/yf_cache/005930.KS_2026-06-23.pkl,3.1,39,,,False,
pkl,logs/yf_cache/101330.KS_2026-02-05.pkl,3.2,41,,,False,
pkl,logs/yf_cache/189300.KS_2026-01-27.pkl,3.2,40,,,False,
pkl,logs/yf_cache/458870.KS_2026-01-22.pkl,3.2,41,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-09.pkl,1.2,0,,,False,
pkl,logs/yf_cache/039860.KS_2025-12-16.pkl,3.3,43,,,False,
pkl,logs/yf_cache/298830.KS_2026-01-21.pkl,3.2,40,,,False,
pkl,logs/yf_cache/489500.KS_2026-01-06.pkl,1.2,0,,,False,
pkl,logs/yf_cache/080220.KS_2026-01-02.pkl,3.3,42,,,False,
pkl,logs/yf_cache/200710.KS_2026-01-30.pkl,3.3,42,,,False,
pkl,logs/yf_cache/950160.KS_2025-11-28.pkl,3.2,40,,,False,
pkl,logs/yf_cache/396470.KS_2026-01-13.pkl,3.2,40,,,False,
pkl,logs/yf_cache/396470.KS_2026-01-07.pkl,3.2,40,,,False,
pkl,logs/yf_cache/250060.KS_2025-12-30.pkl,3.3,42,,,False,
pkl,logs/yf_cache/232680.KS_2026-01-08.pkl,3.2,41,,,False,
pkl,logs/yf_cache/105840.KS_2025-12-11.pkl,3.4,44,,,False,
pkl,logs/yf_cache/452160.KS_2026-01-06.pkl,3.2,40,,,False,
pkl,logs/yf_cache/318060.KS_2025-12-01.pkl,1.2,0,,,False,
pkl,logs/yf_cache/218410.KS_2026-03-26.pkl,3.2,40,,,False,
pkl,logs/yf_cache/274090.KS_2026-01-30.pkl,3.3,42,,,False,
pkl,logs/yf_cache/037030.KS_2026-04-15.pkl,3.1,39,,,False,
pkl,logs/yf_cache/452160.KS_2026-01-09.pkl,3.3,42,,,False,
pkl,logs/yf_cache/082920.KS_2026-04-14.pkl,3.1,39,,,False,
pkl,logs/yf_cache/302430.KS_2025-12-10.pkl,3.3,43,,,False,
pkl,logs/yf_cache/365590.KS_2026-02-10.pkl,3.2,40,,,False,
pkl,logs/yf_cache/004310.KS_2026-01-16.pkl,3.3,42,,,False,
pkl,logs/yf_cache/232680.KS_2026-01-15.pkl,3.2,41,,,False,
pkl,logs/yf_cache/458650.KS_2026-05-11.pkl,1.2,0,,,False,
pkl,logs/yf_cache/318060.KS_2026-01-13.pkl,1.2,0,,,False,
pkl,logs/yf_cache/082920.KS_2026-01-14.pkl,3.2,40,,,False,
pkl,models/lgbm_entry_20260426.pkl,6.3,,,,False,
pkl,models/lgbm_entry_20260426_1030.pkl,83.6,,,,False,
pkl,models/lgbm_entry_latest.pkl,51.3,,,,False,
pkl,models/eq_model.pkl,5.1,,,,False,
pkl,models/lgbm_entry_shadow_v1.pkl,51.3,,,,False,
pkl,models/ranker/classifier.pkl,46.8,,,,False,
pkl,models/ranker/regressor.pkl,64.3,,,,False,
pkl,cache/006400_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/068270_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/035420_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/005380_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/207940_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/000270_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/005930_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/035720_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/051910_KS_7d_5m.pkl,32.8,504,,,True,
pkl,cache/000660_KS_7d_5m.pkl,32.8,504,,,True,
pkl,phase0/_cache/signals.pkl,3.9,,,,False,
pkl,phase0/_cache/ohlcv.pkl,2262.4,47515,78,1일,True,
pkl,ai/models/trade_patterns.pkl,0.4,,,,False,
pkl,ai/models/lightgbm_model_20251101_100839.pkl,5.9,,,,False,
pkl,phase1/universe/ohlcv_expanded.pkl,14794.6,310878,501,1일,True,
sqlite,kiwoom_trading.db,0.0,,,,False,
sqlite,database/trading.db,0.0,,,,False,
sqlite,data/trades_history.db,0.0,,,,False,
sqlite,data/trading.db,628.0,,,,False,
sqlite,data/trades.db,44.0,,,,False,
sqlite,data/test_trading.db,52.0,,,,False,
