code,name,buy_date,buy_price,stop_price,stop_pct,stop_breach_date,exit_date,delay_days,exit_price,exit_reason,excess_loss_won,stop_executed
006400,삼성SDI,2026-05-12,684000,670658,-1.95,2026-05-12,2026-05-13,1,629000,09:00 [HARD_STOP] -5.0% (-6.95%),333264,False
000660,SK하이닉스,2026-06-10,2215000,2104512,-4.99,2026-06-10,2026-06-11,1,1975000,MA5_EXIT,129512,False
035420,NAVER,2026-06-15,253000,239493,-5.34,2026-06-17,2026-06-17,0,242000,14:50 오버나이트 차단 (손실-4.35%<-3.0%),0,True
005930,삼성전자,2026-06-23,353500,341246,-3.47,2026-06-23,2026-06-24,1,314000,DRAWDOWN_STOP,163476,False
005930,삼성전자,2026-07-01,334000,329315,-1.4,2026-07-01,2026-07-01,0,318500,"14:50 오버나이트 차단 (손실-4.64%<-3.0%, B급+손실-4.64%<-1.5%)",64890,False
