code,name,buy_date,sell_date,hold_days,signal_price_proxy,buy_price,late_entry_index_pct,late_verdict,qty,amount,stop_price,stop_pct,sell_price,exit_reason,pnl,pnl_pct,stop_breached,first_breach_date,stop_slippage_won,mfe_pct,mae_pct,day_change_pct,pos_vs_20d_high_pct,rvol,atr_pct,ma50_slope_pct,bt_signal_same_day,bt_signal_within_10d,entry_reason
006400,삼성SDI,2026-05-12 09:00:05,2026-05-13 09:00:09,1,684000,684000,0.0,정상,8,5472000,670658,-1.95,629000,09:00 [HARD_STOP] -5.0% (-6.95%),-376000,-6.95,True,2026-05-12,333264,-0.58,-12.28,0.0,-5.39,1.44,6.8,12.68,False,[],SWING:pullback score=7.0
000660,SK하이닉스,2026-06-10 09:00:05,2026-06-11 09:00:05,1,2215000,2215000,0.0,정상,1,2215000,2104512,-4.99,1975000,MA5_EXIT,-240000,,True,2026-06-10,129512,-1.58,-11.51,0.0,-7.98,0.0,8.24,19.37,False,[],SWING:pullback score=5.0
035420,NAVER,2026-06-15 09:00:05,2026-06-17 14:50:00,2,247000,253000,2.43,주의,13,3289000,239493,-5.34,242000,14:50 오버나이트 차단 (손실-4.35%<-3.0%),-143000,-4.35,True,2026-06-17,0,4.94,-7.31,2.43,-16.78,0.55,12.44,4.02,False,[],SWING:pullback score=7.0
005930,삼성전자,2026-06-23 09:00:06,2026-06-24 09:00:05,1,353111,353500,0.11,정상,6,2121000,341246,-3.47,314000,DRAWDOWN_STOP,-237000,,True,2026-06-23,163476,-0.25,-12.4,0.11,-5.5,1.4,8.25,11.87,False,[],SWING:pullback score=5.0
005930,삼성전자,2026-07-01 09:00:04,2026-07-01 14:50:00,0,334000,334000,0.0,정상,6,2004000,329315,-1.4,318500,"14:50 오버나이트 차단 (손실-4.64%<-3.0%, B급+손실-4.64%<-1.5%)",-93000,-4.64,True,2026-07-01,64890,1.5,-6.74,0.0,-10.72,0.79,8.29,10.22,False,[],SWING:pullback score=5.0
