code,name,amount,vs_slot,stop_pct,risk_won,risk_vs_capital_pct
006400,삼성SDI,5472000,0.274,-1.95,106704,0.107
000660,SK하이닉스,2215000,0.111,-4.99,110528,0.111
035420,NAVER,3289000,0.164,-5.34,175632,0.176
005930,삼성전자,2121000,0.106,-3.47,73598,0.074
005930,삼성전자,2004000,0.1,-1.4,28055,0.028
