trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon
18,026890,스틱인베스트먼트,,,2025-11-11 15:29:57,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
19,388870,파로스아이바이오,,,2025-11-12 12:08:57,7060.0,,,-1360.0,-1.12,손절 (-1.12%),STOP_LOSS,SL,손실 제한,INTRADAY
20,000230,일동홀딩스,,,2025-11-12 13:16:31,14300.0,,,-1360.0,-1.17,손절 (-1.17%),STOP_LOSS,SL,손실 제한,INTRADAY
21,002020,코오롱,,,2025-11-12 14:31:11,49000.0,,,-200.0,-0.2,VWAP 하향 돌파,STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
22,005940,NH투자증권,,,2025-11-12 15:00:28,22500.0,,,0.0,,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
23,366030,공구우먼,,,2025-11-13 10:07:33,5800.0,,,150.0,0.17,트레일링 스탑 (+0.17%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
24,009420,한올바이오파마,,,2025-11-13 10:13:03,40550.0,,,-500.0,-0.61,VWAP 하향 돌파,STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
25,068290,삼성출판사,,,2025-11-13 14:33:07,17780.0,,,1950.0,2.24,트레일링 스탑 (+2.24%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
26,366030,공구우먼,,,2025-11-13 15:22:27,5430.0,,,0.0,,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
27,366030,공구우먼,,,2025-11-14 13:27:21,5500.0,,,1840.0,1.48,트레일링 스탑 (+1.48%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
28,366030,공구우먼,,,2025-11-14 13:28:22,5460.0,,,920.0,0.74,트레일링 스탑 (+0.74%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
29,366030,공구우먼,,,2025-11-14 13:29:22,5440.0,,,460.0,0.37,트레일링 스탑 (+0.37%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
30,009420,한올바이오파마,,,2025-11-14 15:00:31,43550.0,,,-700.0,-0.8,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
31,366030,공구우먼,,,2025-11-14 15:21:13,5390.0,,,0.0,,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
