종목,종목코드,매수가,실제_수익률,실제_손익,Confidence,진입_허용,포지션_배수,차단_레벨,차단_사유
한올바이오파마,009420,44800,0.8928571428571428,400,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
한올바이오파마,009420,46050,0.0,0,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
한올바이오파마,009420,46400,-0.7543103448275862,-350,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
태성,004410,37750,-1.5894039735099337,-600,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
태성,004410,38850,-1.5444015444015444,-600,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
태성,004410,38850,-1.5444015444015444,-600,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
태성,004410,38625,-0.5825242718446602,-225,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
태성,004410,38600,-0.5181347150259068,-200,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
로킷헬스케어,418550,51800,5.405405405405405,2800,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
삼영,005680,6430,1.244167962674961,320,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
삼영,005680,6430,0.4354587869362364,308,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
코오롱티슈진,014680,57050,-0.2629272567922874,-150,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
코오롱티슈진,014680,57100,-0.3502626970227671,-200,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
신테카바이오,226330,5500,-1.818181818181818,-800,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
메드팩토,035430,8520,-1.4084507042253522,-840,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
메드팩토,035430,8390,1.1918951132300355,200,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
메드팩토,035430,8390,-4.529201430274136,-1900,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
메드팩토,035430,8040,-0.6218905472636816,-350,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
메드팩토,035430,8040,-3.109452736318408,-250,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
메드팩토,035430,7900,-1.3924050632911391,-770,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
글로벌텍스프리,204620,6380,4.231974921630094,540,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
글로벌텍스프리,204620,6380,6.269592476489027,800,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
글로벌텍스프리,204620,6380,4.545454545454546,290,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
글로벌텍스프리,204620,6790,0.8836524300441826,300,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
미래컴퍼니,049950,15750,0.7619047619047619,240,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
미래컴퍼니,049950,15950,1.1912225705329154,380,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
롯데관광개발,032350,22300,0.0,0,0.0,False,0.0,L0,"진입 시간 외 (08:38, 허용: 09:30~14:59)"
