profile,version,period,start,end,candidates,trades,win_rate,profit_factor,total_return_pct,mdd_pct,expectancy_pct,expectancy_won,avg_return_pct,avg_win_pct,avg_loss_pct,avg_loss_vs_ops_pct,max_consecutive_loss,avg_hold_bars,total_pnl_won,pass_paper_criteria
OPS,v1.0 (운영 현행),전체 (파라미터 선택 구간),2024-08-01,2026-07-30,117,74,43.2,1.783,32.24,-11.27,2.179,435682,2.18,11.47,-4.9,0.0,10,8.8,32240472,False
E,v1.1-rc1 (Paper 검증 중),전체 (파라미터 선택 구간),2024-08-01,2026-07-30,200,110,40.0,1.526,33.46,-13.45,1.521,304219,1.52,11.03,-4.82,-1.6,7,9.3,33464170,False
G,v1.1-rc2 (Paper 검증 중),전체 (파라미터 선택 구간),2024-08-01,2026-07-30,225,124,43.5,1.735,49.43,-13.7,1.993,398631,1.99,10.81,-4.81,-1.8,7,9.6,49430300,False
OPS,v1.0 (운영 현행),기간1 2025년,2025-01-01,2025-12-31,60,39,35.9,1.374,9.13,-10.81,1.17,234036,1.17,11.98,-4.89,0.0,10,8.2,9127431,False
E,v1.1-rc1 (Paper 검증 중),기간1 2025년,2025-01-01,2025-12-31,101,56,42.9,1.738,23.23,-13.41,2.074,414819,2.07,11.4,-4.92,0.6,7,10.0,23229866,False
G,v1.1-rc2 (Paper 검증 중),기간1 2025년,2025-01-01,2025-12-31,113,62,46.8,1.936,30.62,-13.98,2.47,493875,2.47,10.92,-4.96,1.4,7,10.8,30620278,False
OPS,v1.0 (운영 현행),기간2 2026 상반기,2026-01-01,2026-07-30,49,27,48.1,2.282,17.9,-5.01,3.315,662956,3.31,12.25,-4.99,0.0,3,8.0,17899813,True
E,v1.1-rc1 (Paper 검증 중),기간2 2026 상반기,2026-01-01,2026-07-30,78,36,38.9,1.504,11.64,-9.3,1.617,323328,1.62,12.4,-5.25,5.2,6,6.5,11639813,True
G,v1.1-rc2 (Paper 검증 중),기간2 2026 상반기,2026-01-01,2026-07-30,90,42,35.7,1.234,6.5,-12.52,0.773,154655,0.77,11.43,-5.14,3.0,6,6.5,6495531,False
